name	group	strand	number_of_isoforms	isoforms	number_of_isoforms_with_annotated_domain	isoforms_with_annotated_domain	longest_isoform_with_annotated_domain	number_of_exon_for_longest_isoform_with_annotated_domain	domain_position_on_longest_isoform_with_annotated_domain	domain_position_on_longest_isoform_with_annotated_domain_percentage	DIFF	EXPR	number_of_assays
AAK1	OTHER	-	4	"uc002sfp.2;uc010fdk.2;uc010fdm.1;uc010yqm.1"	4	"uc002sfp.2;uc010fdk.2;uc010fdm.1;uc010yqm.1"	uc002sfp.2	22	exons-2-12	start-5%-end-52%	yes	yes	3
AATK	RTK	-	3	"uc010dhz.3;uc010dia.3;uc021ueu.1"	2	"uc010dia.3;uc021ueu.1"	uc010dia.3	14	exons-3-11	start-15%-end-77%	yes	yes	2
ABL1	NRTK	+	2	"uc004bzv.3;uc004bzw.3"	2	"uc004bzv.3;uc004bzw.3"	"uc004bzv.3;uc004bzw.3"	11	exons-4-11	start-30%-end-100%	yes	yes	2
ABL2	NRTK	-	10	"uc001gmg.4;uc001gmi.4;uc001gmj.4;uc001gmk.3;uc009wxe.3;uc009wxf.2;uc010pne.2;uc010pnf.2;uc010png.2;uc010pnh.2"	10	"uc001gmg.4;uc001gmi.4;uc001gmj.4;uc001gmk.3;uc009wxe.3;uc009wxf.2;uc010pne.2;uc010pnf.2;uc010png.2;uc010pnh.2"	"uc001gmg.4;uc010pnf.2"	13	exons-5-12	start-33%-end-92%	yes	yes	2
ACVR1	TKL	-	3	"uc002tzm.3;uc002tzn.3;uc010fog.2"	3	"uc002tzm.3;uc002tzn.3;uc010fog.2"	uc002tzm.3	12	exons-6-12	start-45%-end-100%	yes	yes	2
ACVR1B	TKL	+	5	"uc001rzl.3;uc001rzm.3;uc001rzn.3;uc010snn.2;uc021qya.1"	5	"uc001rzl.3;uc001rzm.3;uc001rzn.3;uc010snn.2;uc021qya.1"	uc010snn.2	10	exons-3-10	start-22%-end-100%	no	yes	1
ACVR1C	TKL	-	4	"uc002tzk.4;uc002tzl.4;uc010foe.3;uc010fof.3"	4	"uc002tzk.4;uc002tzl.4;uc010foe.3;uc010fof.3"	"uc002tzk.4;uc010foe.3"	9	exons-3-9	start-25%-end-100%	no	yes	1
ACVR2A	TKL	+	3	"uc002twg.3;uc002twh.3;uc010zbn.2"	3	"uc002twg.3;uc002twh.3;uc010zbn.2"	uc002twg.3	12	exons-5-12	start-36%-end-100%	no	yes	1
ACVR2B	TKL	+	2	"uc003cif.3;uc003cig.3"	2	"uc003cif.3;uc003cig.3"	uc003cif.3	11	exons-4-11	start-30%-end-100%	yes	yes	2
ACVRL1	TKL	+	4	"uc001rzj.3;uc001rzk.3;uc010snm.2;uc021qxz.1"	3	"uc001rzj.3;uc001rzk.3;uc010snm.2"	uc001rzj.3	10	exons-4-10	start-33%-end-100%	no	yes	1
ADCK1	ATYPICAL	+	5	"uc001xui.3;uc001xuj.3;uc001xuk.1;uc001xul.3;uc010tvo.1"	3	"uc001xui.3;uc001xuj.3;uc001xuk.1"	uc001xui.3	11	exons-4-9	start-30%-end-80%	no	yes	1
ADCK2	ATYPICAL	+	2	"uc003vvy.1;uc003vvz.3"	2	"uc003vvy.1;uc003vvz.3"	"uc003vvy.1;uc003vvz.3"	8	exons-1-5	start-0%-end-57%	yes	yes	2
ADCK3	ATYPICAL	+	8	"uc001hqm.1;uc001hqn.1;uc001hqo.1;uc009xeq.1;uc009xer.1;uc010pvp.1;uc010pvq.1;uc010pvr.1"	5	"uc001hqm.1;uc001hqn.1;uc001hqo.1;uc009xeq.1;uc010pvq.1"	uc001hqm.1	20	exons-12-19	start-58%-end-95%	no	yes	1
ADCK4	ATYPICAL	-	4	"uc002oop.1;uc002ooq.2;uc002oor.2;uc002oos.2"	2	"uc002ooq.2;uc002oor.2"	uc002oor.2	15	exons-7-14	start-43%-end-93%	yes	yes	2
ADCK5	ATYPICAL	+	2	"uc003zch.3;uc003zci.3"	1	uc003zch.3	uc003zch.3	15	exons-5-12	start-29%-end-79%	yes	yes	2
ADRBK1	AGC	+	1	uc009yrn.1	1	uc009yrn.1	uc009yrn.1	21	exons-6-18	start-25%-end-85%	yes	yes	2
ADRBK2	AGC	+	4	"uc003abw.2;uc003abx.4;uc003aby.4;uc010gux.3"	3	"uc003abw.2;uc003abx.4;uc010gux.3"	uc003abx.4	21	exons-6-18	start-25%-end-85%	yes	yes	2
AKT1	AGC	-	7	"uc001ypj.3;uc001ypk.3;uc001ypl.3;uc001ypm.3;uc001ypn.3;uc010axa.3;uc010tyk.2"	6	"uc001ypk.3;uc001ypl.3;uc001ypm.3;uc001ypn.3;uc010axa.3;uc010tyk.2"	uc001ypm.3	15	exons-6-15	start-36%-end-100%	yes	yes	2
AKT2	AGC	-	7	"uc002one.3;uc002onf.3;uc010egs.3;uc010egt.3;uc010egu.2;uc010xvj.2;uc010xvk.1"	7	"uc002one.3;uc002onf.3;uc010egs.3;uc010egt.3;uc010egu.2;uc010xvj.2;uc010xvk.1"	"uc002onf.3;uc010xvj.2"	14	exons-5-14	start-31%-end-100%	no	yes	1
AKT3	AGC	-	3	"uc001hzz.1;uc001iab.2;uc021plu.1"	3	"uc001hzz.1;uc001iab.2;uc021plu.1"	"uc001hzz.1;uc021plu.1"	14	exons-4-13	start-23%-end-92%	yes	yes	2
ALK	RTK	-	3	"uc002rmy.3;uc010ymo.3;uc031rnw.1"	3	"uc002rmy.3;uc010ymo.3;uc031rnw.1"	uc002rmy.3	29	exons-20-29	start-68%-end-100%	yes	yes	2
ALPK1	ATYPICAL	+	7	"uc003iam.3;uc003ian.4;uc003iao.4;uc003iap.4;uc010imo.3;uc011cfw.1;uc011cfx.2"	4	"uc003ian.4;uc003iap.4;uc010imo.3;uc011cfx.2"	"uc003ian.4;uc003iap.4"	16	exons-11-16	start-67%-end-100%	yes	yes	2
ALPK2	ATYPICAL	-	2	"uc002lhj.4;uc002lhk.1"	1	uc002lhj.4	uc002lhj.4	13	exons-7-13	start-50%-end-100%	yes	yes	2
ALPK3	ATYPICAL	+	2	"uc002ble.3;uc010upc.2"	2	"uc002ble.3;uc010upc.2"	uc002ble.3	14	exons-8-14	start-54%-end-100%	yes	yes	3
AMHR2	TKL	+	4	"uc001scx.2;uc009zmy.2;uc021qyg.1;uc031qhl.1"	3	"uc001scx.2;uc009zmy.2;uc021qyg.1"	"uc001scx.2;uc009zmy.2"	11	exons-4-11	start-30%-end-100%	yes	yes	2
ANKK1	TKL	+	1	uc001pny.3	1	uc001pny.3	uc001pny.3	8	exons-1-8	start-0%-end-100%	no	yes	1
ARAF	TKL	+	5	"uc004dic.2;uc011mln.3;uc011mlo.3;uc011mlp.3;uc031tjj.1"	3	"uc004dic.2;uc011mlo.3;uc011mlp.3"	"uc004dic.2;uc011mlp.3"	16	exons-9-16	start-53%-end-100%	yes	yes	2
ATM	ATYPICAL	+	9	"uc001pkb.1;uc001pkc.1;uc001pkd.4;uc001pke.2;uc001pkf.3;uc001pkg.1;uc009yxr.1;uc009yxs.1;uc009yxt.1"	3	"uc001pkb.1;uc001pke.2;uc009yxr.1"	uc009yxr.1	64	exons-54-64	start-84%-end-100%	yes	yes	2
ATR	ATYPICAL	-	2	"uc003eux.4;uc003euy.1"	2	"uc003eux.4;uc003euy.1"	uc003eux.4	47	exons-40-47	start-85%-end-100%	yes	yes	3
AURKA	OTHER	-	8	"uc002xxd.1;uc002xxe.1;uc002xxf.1;uc002xxg.1;uc002xxh.1;uc002xxi.1;uc002xxj.1;uc010zzd.1"	7	"uc002xxd.1;uc002xxe.1;uc002xxf.1;uc002xxg.1;uc002xxh.1;uc002xxi.1;uc002xxj.1"	uc002xxd.1	11	exons-5-11	start-40%-end-100%	yes	yes	2
AURKB	OTHER	-	6	"uc002gkm.4;uc002gkn.4;uc002gko.4;uc010cnu.3;uc010vuu.3;uc021tpy.1"	5	"uc002gkm.4;uc002gkn.4;uc010cnu.3;uc010vuu.3;uc021tpy.1"	"uc002gkm.4;uc002gkn.4"	9	exons-3-9	start-25%-end-100%	no	yes	1
AURKC	OTHER	+	4	"uc002qoc.3;uc002qod.3;uc002qoe.3;uc010etv.3"	4	"uc002qoc.3;uc002qod.3;uc002qoe.3;uc010etv.3"	"uc002qoc.3;uc002qod.3;uc002qoe.3;uc010etv.3"	7	exons-1-7	start-0%-end-100%	no	yes	1
AXL	RTK	+	3	"uc010ehi.1;uc010ehj.3;uc010ehk.3"	2	"uc010ehj.3;uc010ehk.3"	uc010ehj.3	20	exons-12-20	start-58%-end-100%	yes	yes	2
BCKDK	ATYPICAL	+	3	"uc002eav.5;uc002eaw.5;uc010cai.4"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
BCR	ATYPICAL	+	7	"uc002zwm.3;uc002zww.3;uc002zwx.3;uc002zwy.2;uc010gtx.1;uc011aiy.2;uc021wmd.1"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
BLK	NRTK	+	3	"uc003wtx.3;uc003wty.3;uc003wua.3"	2	"uc003wty.3;uc003wua.3"	uc003wty.3	13	exons-7-13	start-50%-end-100%	yes	yes	2
BMP2K	OTHER	+	4	"uc003hlj.3;uc003hlk.3;uc003hll.3;uc010ijl.1"	2	"uc003hlj.3;uc003hlk.3"	uc003hlk.3	16	exons-1-13	start-0%-end-80%	no	yes	1
BMPR1A	TKL	+	1	uc001kdy.3	1	uc001kdy.3	uc001kdy.3	13	exons-8-13	start-58%-end-100%	yes	yes	2
BMPR1B	TKL	+	5	"uc003htm.4;uc003htn.4;uc010ilb.3;uc031sgm.1;uc031sgn.1"	5	"uc003htm.4;uc003htn.4;uc010ilb.3;uc031sgm.1;uc031sgn.1"	uc003htm.4	13	exons-8-13	start-58%-end-100%	yes	yes	2
BMPR2	TKL	+	3	"uc002uze.3;uc002uzf.4;uc010ftr.3"	2	"uc002uzf.4;uc010ftr.3"	uc002uzf.4	13	exons-4-12	start-25%-end-92%	yes	yes	2
BMX	NRTK	+	3	"uc004cww.3;uc004cwx.4;uc004cwy.4"	3	"uc004cww.3;uc004cwx.4;uc004cwy.4"	"uc004cww.3;uc004cwx.4;uc004cwy.4"	19	exons-12-19	start-61%-end-100%	yes	yes	2
BRAF	TKL	-	1	uc003vwc.4	1	uc003vwc.4	uc003vwc.4	18	exons-10-18	start-53%-end-100%	yes	yes	2
BRD4	ATYPICAL	-	4	"uc002nar.3;uc002nas.3;uc002nat.3;uc002nau.4"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
BRSK1	CAMK	+	5	"uc002qkf.3;uc002qkg.3;uc002qkh.3;uc021vbs.1;uc031rnb.1"	3	"uc002qkf.3;uc002qkg.3;uc021vbs.1"	uc002qkf.3	21	exons-2-16	start-5%-end-75%	yes	yes	3
BRSK2	CAMK	+	11	"uc001lth.1;uc001lti.4;uc001ltj.4;uc001ltk.4;uc001ltl.4;uc001ltm.4;uc001ltn.4;uc009ycv.1;uc009ycw.4;uc010qwx.3;uc031pyc.1"	7	"uc001lth.1;uc001lti.4;uc001ltj.4;uc001ltl.4;uc001ltm.4;uc009ycv.1;uc031pyc.1"	"uc001lth.1;uc001lti.4;uc001ltj.4;uc001ltl.4;uc001ltm.4;uc009ycv.1;uc031pyc.1"	20	exons-1-14	start-0%-end-68%	yes	yes	2
BTK	NRTK	-	13	"uc004ehe.2;uc004ehf.2;uc004ehg.2;uc004ehh.1;uc004ehi.3;uc010nnh.2;uc010nni.2;uc010nnj.2;uc010nnk.2;uc010nnl.2;uc010nnm.2;uc010nnn.2;uc010nno.2"	7	"uc004ehf.2;uc004ehg.2;uc004ehi.3;uc010nnl.2;uc010nnm.2;uc010nnn.2;uc010nno.2"	"uc004ehg.2;uc010nno.2"	19	exons-12-19	start-61%-end-100%	no	yes	1
